match_index,Player1 Odds,Player2 Odds,correct_prediction,confidence,Confidence_Player1_Wins,Confidence_Player2_Wins,date,Player1,Player2,,,,,
29317,1.4,3.04,0,2.923253145,0.311160177,0.961596429,17/01/2019,Kohlschreiber P.,Sousa J.,,,,,
29314,1.73,2.14,0,1.619880927,0.256011544,0.756953704,17/01/2019,Pouille L.,Marterer M.,,,,,
29313,3.07,1.39,0,1.190509026,0.293241929,0.856481314,17/01/2019,Donskoy E.,Krajinovic F.,,,,,
29318,1.21,4.58,1,1.157853371,0.956903613,0.058730911,17/01/2019,Goffin D.,Copil M.,,,,,
29319,5.72,1.15,0,1.105126518,0.026595409,0.960979581,17/01/2019,Bolt A.,Simon G.,,,,,
29315,2.52,1.54,0,1.022735264,0.245389968,0.664113808,17/01/2019,Ivashka I.,Carreno Busta P.,,,,,
29326,1.07,9.33,1,0.985414837,0.920948446,0.025098596,17/01/2019,Djokovic N.,Tsonga J.W.,,,,,
29316,5.06,1.18,0,0.942746868,0.261451983,0.798938024,17/01/2019,Harrison R.,Medvedev D.,,,,,
29336,7.06,1.12,0,0.907462252,0.05036051,0.810234153,18/01/2019,de Minaur A.,Nadal R.,,,,,
29335,1.08,9.11,1,0.879813064,0.814641726,0.053512288,18/01/2019,Dimitrov G.,Fabbiano T.,,,,,
29334,11.55,1.05,0,0.66081643,0.059519547,0.629348981,18/01/2019,Fritz T.,Federer R.,,,,,
29331,1.25,4.17,1,0.579912718,0.463930175,0.0888451,18/01/2019,Berdych T.,Schwartzman D.,,,,,
29333,1.3,3.7,1,0.570816708,0.439089775,0.09006664,18/01/2019,Cilic M.,Verdasco F.,,,,,
29324,1.12,6.51,1,0.47250096,0.421875857,0.02495766,17/01/2019,Zverev A.,Chardy J.,,,,,
29332,1.89,1.96,1,0.334565026,0.177018532,0.088491697,18/01/2019,Tiafoe F.,Seppi A.,,,,,
29328,1.54,2.54,1,0.325341286,0.211260575,0.025611112,17/01/2019,Fognini F.,Mayer L.,,,,,
29325,5.93,1.14,0,0.320476125,0.030788179,0.281119408,17/01/2019,Karlovic I.,Nishikori K.,,,,,
29329,2.42,1.6,0,0.314068868,0.056320624,0.196293043,18/01/2019,Bautista Agut R.,Khachanov K.,,,,,
29322,6.05,1.14,0,0.310749042,0.034335527,0.272586879,17/01/2019,Popyrin A.,Thiem D.,,,,,
29330,1.35,3.32,1,0.301083084,0.223024507,0.06443689,18/01/2019,Tsitsipas S.,Basilashvili N.,,,,,
29323,1.68,2.22,1,0.299604837,0.178336212,0.032287459,17/01/2019,Chung H.,Herbert P.H.,,,,,
29321,5.83,1.15,0,0.250512944,0.02153756,0.217837343,17/01/2019,Daniel T.,Shapovalov D.,,,,,
29327,3.89,1.27,0,0.249928091,0.018247644,0.196793772,17/01/2019,Wawrinka S.,Raonic M.,,,,,
29320,1.29,3.69,1,0.209854155,0.16267764,0.035673308,17/01/2019,Coric B.,Fucsovics M.,,,,,
